03358;Heidekreis;;HK; NI;Bad Fallingbostel;141.321;1.881,47;75;
08135;Heidenheim;;HDH; BW;Heidenheim an der Brenz;135.235;627,12;216;
08125;Heilbronn;;HN; BW;Heilbronn[FN 2];353.877;1.099,94;322;
05370;Heinsberg;;HS, ERK, GK; NW;Heinsberg;263.681;627,92;420;
03154;Helmstedt;;HE; NI;Helmstedt;90.227;676,11;133;
05758;Herford;;HF; NW;Herford;254.404;450,40;565;
06632;Hersfeld-Rotenburg;;HEF, ROF; HE;Bad Hersfeld;117.414;1.097,75;107;
01053;Herzogtum Lauenburg;;RZ; SH;Ratzeburg;206.235;1.263,06;163;
16069;Hildburghausen;;HBN; TH;Hildburghausen;59.987;938,41;64;
03254;Hildesheim;;HI, ALF; NI;Hildesheim;267.506;1.208,35;221;
05958;Hochsauerlandkreis;;HSK; NW;Meschede;260.843;1.960,16;133;
06434;Hochtaunuskreis;;HG, USI; HE;Bad Homburg vor der Höhe;241.664;481,84;502;
09475;Hof;;HO, MÜB, NAI, REH, SAN; BY;Hof[FN 2];92.191;892,54;103;
08126;Hohenlohekreis;;KÜN, ÖHR; BW;Künzelsau;115.644;776,76;149;
03255;Holzminden;;HOL; NI;Holzminden;65.581;694,27;94;
05762;Höxter;;HX, WAR; NW;Höxter;139.252;1.201,42;116;
16070;Ilm-Kreis;;IK, ARN, IL; TH;Arnstadt;106.657;805,11;132;
15086;Jerichower Land;;JL, BRG, GNT; ST;Burg;88.509;1.577,42;56;
07335;Kaiserslautern;;KL; RP;Kaiserslautern[FN 2];106.343;639,98;166;
08215;Karlsruhe;;KA, BR; BW;Karlsruhe[FN 2];456.264;1.084,97;421;
06633;Kassel;;KS, HOG, WOH; HE;Kassel[FN 2];231.073;1.293,32;179;
09273;Kelheim;;KEH, MAI, PAR, RID, ROL; BY;Kelheim;126.037;1.065,12;118;
09675;Kitzingen;;KT; BY;Kitzingen;91.287;684,16;133;
05154;Kleve;;KLE, GEL; NW;Kleve;322.018;1.232,99;261;
08335;Konstanz;;KN, STO (BÜS); BW;Konstanz;291.841;817,97;357;
09476;Kronach;;KC, SAN; BY;Kronach;64.545;651,50;99;
09477;Kulmbach;;KU, EBS, SAN; BY;Kulmbach;71.518;658,32;109;
07336;Kusel;;KUS; RP;Kusel;69.334;573,58;121;
16065;Kyffhäuserkreis;;KYF, ART, SDH; TH;Sondershausen;71.738;1.037,90;69;
06532;Lahn-Dill-Kreis;;LDK, DIL, WZ; HE;Wetzlar;254.074;1.066,30;238;
09181;Landsberg am Lech;;LL; BY;Landsberg am Lech;122.107;804,36;152;
